Phrase	Dux Translation
STORAGE	/orage
CONCESSION STAND	3ces.n /&
AUDITORIUM	auditorium
AUDITORIUM	auditorium
CONTROL BOOTH	3trol boo?
STAIR	/air
STAIR	/air
STAGE	/age
AUDIO ROOM	audio room
DIMMER ROOM	dimm] room
FIRE ALARM ANNUNCIATOR	fire al>m annunciator
SET STORAGE	set /orage
SET STORAGE	set /orage
DATA ROOM	data room
STORAGE ROOM	/orage room
MENS DRESSING	m5s dress+
STORAGE ROOM	/orage room
WOMENS DRESSING	wom5s dress+
COSTUME STORAGE	co/ume /orage
COSTUME STORAGE	co/ume /orage
PE/ATHLETIC CONFERENCE	pe_/a?letic 3f];e
MAIN OFFICE	ma9 (fice
MAIN OFFICE	ma9 (fice
SECRETARY	secret>y
PRINCIPALS OFFICE	pr9cipals (fice
DATA ROOM	data room
FILE STORAGE	file /orage
CONFERENCE ROOM	3f];e room
COATS	coats
ATTENDANCE	att5d.e
SECURITY	secur;y
PTSA	ptsa
WORKROOM	"wroom
FILE STORAGE	file /orage
PEER MEDIATION	pe] m$ia;n
ASSOCIATE DEAN'S	associate d1n's
DEAN'S OFFICE	d1n's (fice
STORAGE	/orage
AV EDITING	av $it+
AV STUDIO	av /udio
AV STUDIO	av /udio
HEAD END	h1d 5d
LOADING	load+
CONTROL ROOM	3trol room
AV OFFICE	av (fice
RADIO	radio
SPRINKLER ROOM	spr9kl] room
CERAMICS	c]amics
KILNS	kilns
WORKROOM	"wroom
STORAGE	/orage
YEARBOOK	ye>book
WOODSHOP	wood%op
WOODSHOP	wood%op
FINISHING ROOM	f9i%+ room
ELECTRICAL	electrical
STORAGE	/orage
STORAGE	/orage
STORAGE	/orage
STORAGE	/orage
STORAGE	/orage
DATA ROOM	data room
METAL SHOP	metal %op
TRANSPORTATION LAB	transporta;n lab
TRANSPORTATION LAB	transporta;n lab
BOILER ROOM	boil] room
CHILLER ROOM	*ill] room
CULINARY CLASSROOM	cul9>y classroom
ELECTRONICS	electronics
FOOD LAB	food lab
FOOD LAB	food lab
CLOTHING LAB	clo?+ lab
CLOTHING LAB	clo?+ lab
WASHER/ DRYER	wa%]_/ dry]
WASHER/ DRYER	wa%]_/ dry]
STORAGE	/orage
STORAGE	/orage
STORAGE	/orage
ORCHESTRA MUSIC	or*e/ra music
DRAFTING	draft+
STORAGE	/orage
OFFICE	(fice
OFFICE	(fice
CADD ROOM	cadd room
IN SCHOOL SUSPENSION	9 s*ool susp5.n
FAMILY CONSUMER	family 3sum]
GRAPHICS	graphics
GRAPHICS	graphics
NURSE	nurse
RECOVERY	recov]y
OFFICE	(fice
RECOVERY	recov]y
EXAM	exam
EXAM	exam
STORAGE	/orage
2D ART	#b;d >t
2D ART	#b;d >t
CAFÉ	caf^/e
STORAGE	/orage
CLASSROOM	classroom
FACULTY	faculty
BOOK ROOM	book room
CLASSROOM	classroom
STORAGE	/orage
STORAGE	/orage
STORAGE	/orage
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
YARD STORAGE	y>d /orage
PAINT STORAGE	pa9t /orage
RECEIVING ROOM	rcvg room
RECEIVING ROOM	rcvg room
CUSTODIAL OFFICE	cu/odial (fice
PUMP ROOM	pump room
FURNITURE STORAGE	furniture /orage
CUSTODIAN LUNCHROOM	cu/odian lun*room
CUSTODIAN MAINTENANCE	cu/odian ma9t5.e
KITCHEN STORAGE	kit*5 /orage
WOMEN'S LOCKER	wom5's lock]
TRANSFORMER VAULT	trans=m] vault
SWITCH ROOM	swit* room
GENERATOR ROOM	g5]ator room
MATRONS' LOCKER	matrons' lock]
CUSTODIANS' LOCKER	cu/odians' lock]
RECYCLING ROOM	recycl+ room
RECYCLING ROOM	recycl+ room
ORCHESTRA STORAGE	or*e/ra /orage
PRACTICE ROOM	practice room
BAND ROOM	b& room
BAND ROOM	b& room
STORAGE	/orage
STORAGE	/orage
BAND OFFICE	b& (fice
CHORUS OFFICE	*orus (fice
PRACTICE ROOM	practice room
PRACTICE ROOM	practice room
PRACTICE ROOM	practice room
PRACTICE ROOM	practice room
PRACTICE ROOM	practice room
CHORUS ROOM	*orus room
CHORUS ROOM	*orus room
COMMONS	commons
COMMONS	commons
SENIOR COMMONS	s5ior commons
ENTER DELI LINE	5t] deli l9e
ENTER DELI LINE	5t] deli l9e
ENTER HOT FOOD	5t] hot food
ENTER HOT FOOD	5t] hot food
ENTER GRILL LINE	5t] grill l9e
MOP/ LAUNDRY	mop_/ laundry
FACULTY DINING	faculty d9+
FACULTY DINING	faculty d9+
OFFICE	(fice
FOOD SERVICE	food s]vice
FOOD STORAGE	food /orage
STORAGE	/orage
TICKET BOOTH	ticket boo?
GYMNASIUM	gymnasium
GYMNASIUM	gymnasium
GYMNASIUM	gymnasium
GYMNASIUM	gymnasium
SWITCH ROOM	swit* room
TRANSFORMER VAULT	trans=m] vault
EQUIPMENT STORAGE	equip;t /orage
WASHER/ DRYER	wa%]_/ dry]
GIRLS' TEAM	girls' t1m
GIRLS' TEAM	girls' t1m
CUSTODIAL CLOSET	cu/odial closet
STORAGE	/orage
STORAGE	/orage
STORAGE	/orage
STORAGE	/orage
STORAGE/ MECHANICAL	/orage_/ me*anical
DATA ROOM	data room
GIRLS' LOCKER	girls' lock]
WOMEN COACHES'	wom5 coa*es'
WOMEN COACHES'	wom5 coa*es'
GIRLS' LOCKER	girls' lock]
PE STORAGE	pe /orage
PE STORAGE	pe /orage
PE STORAGE	pe /orage
CONTINUING EDUCATION	3t9u+ $uca;n
CONTINUING EDUCATION	3t9u+ $uca;n
CONTINUING EDUCATION	3t9u+ $uca;n
ATHLETIC SECRETARY	a?letic secret>y
STORAGE	/orage
BOYS' LOCKER	boys' lock]
BOYS' LOCKER	boys' lock]
MEN COACHES'	m5 coa*es'
MEN COACHES'	m5 coa*es'
MEN COACHES'	m5 coa*es'
BOYS' LOCKER	boys' lock]
BOYS' LOCKER	boys' lock]
STORAGE	/orage
STORAGE	/orage
STORAGE	/orage
WASHER/ DRYER	wa%]_/ dry]
TRAINER	tra9]
CUSTODIAL CLOSET	cu/odial closet
OFFICE	(fice
STORAGE	/orage
DATA ROOM IDF CLOSET	data room idf closet
BOYS' LOCKER	boys' lock]
BOYS' LOCKER	boys' lock]
UNIFORM STORAGE	uni=m /orage
ATHLETIC DIRECTOR	a?letic director
STORAGE	/orage
WEIGHT ROOM	wei<t room
BOYS' TEAM	boys' t1m
BOYS' TEAM	boys' t1m
EXTERIOR STORAGE	ext]ior /orage
ELECTRICAL CLOSET	electrical closet
STORAGE	/orage
OFFICE	(fice
OFFICE	(fice
AUXILIARY GYMNASIUM	auxili>y gymnasium
AUXILIARY GYMNASIUM	auxili>y gymnasium
CLASSROOM	classroom
